uf,season,week,P25,P50,P75,P90,P95
RN,2023-2024,45,194,349,395.45000000000005,1028.3000000000004,1500.149999999998
RN,2023-2024,46,181.75,313,350,914.1000000000001,1327.2499999999998
RN,2023-2024,47,163,280,313.45000000000005,850.2000000000003,1172.4999999999995
RN,2023-2024,48,147,254,282,737,1039.2499999999998
RN,2023-2024,49,131,239,267,736.1000000000001,1017
RN,2023-2024,50,123,216,238.45000000000005,684.4000000000005,979.0999999999999
RN,2023-2024,51,116,197.5,220,590.1000000000001,859.1999999999998
RN,2023-2024,52,104,180,198,543,771.05
RO,2023-2024,1,27,46,51,140,192
RO,2023-2024,2,30,52,57,152,224.04999999999995
RO,2023-2024,3,32,57,63,162.20000000000027,234.0999999999999
RO,2023-2024,4,37.75,65,71,193,285.04999999999995
RO,2023-2024,5,43,75,82,218,315.04999999999995
RO,2023-2024,6,50,83,91,246,359.14999999999986
RO,2023-2024,7,55,94,104,276.3000000000004,417
RO,2023-2024,8,63,112,123,319,444.04999999999995
RO,2023-2024,9,71,119,133,356.10000000000014,465.04999999999995
RO,2023-2024,10,78,135,152,379.10000000000014,551.0999999999999
RO,2023-2024,11,89,152,169.45000000000005,449.2000000000003,641.4499999999996
RO,2023-2024,12,101,173,192,517.3000000000004,733.2999999999997
RO,2023-2024,13,124.75,207,228,593.2000000000003,813.05
RO,2023-2024,14,144,242,269,697.2000000000003,991.1999999999998
RO,2023-2024,15,152,255,280.45000000000005,799,1154.4499999999996
RO,2023-2024,16,166,284.5,314,856.1000000000001,1157.3499999999997
RO,2023-2024,17,181,296.5,327,908.1000000000001,1278.1499999999999
RO,2023-2024,18,176,309,339,884.2000000000003,1274.1499999999999
RO,2023-2024,19,191,318.5,353,929.1000000000001,1350.1
RO,2023-2024,20,182,308,340,902.1000000000001,1396.05
RO,2023-2024,21,182,312,341.45000000000005,909.3000000000004,1330.3999999999996
RO,2023-2024,22,169.75,295,322,839.1000000000001,1203.3499999999997
RO,2023-2024,23,165,283,315.45000000000005,840.1000000000001,1152.1
RO,2023-2024,24,156.75,272,298,757.1000000000001,1060.4499999999996
RO,2023-2024,25,146,248,272,712.5000000000007,986.2999999999997
RO,2023-2024,26,131,225,249,659.1000000000001,913.1999999999998
RO,2023-2024,27,125.75,211,230,636.1000000000001,952.5499999999995
RO,2023-2024,28,117.75,197,215,569.2000000000003,783.1499999999999
RO,2023-2024,29,106,178,194,534.1000000000001,713.0999999999999
RO,2023-2024,30,97,165,188,498,714.1999999999998
RO,2023-2024,31,90,156,170,472,650.3999999999996
RO,2023-2024,32,85,145,159,409,576.3499999999997
RO,2023-2024,33,77,129.5,145,379.2000000000003,540.2999999999997
RO,2023-2024,34,70,121,132,360.5000000000007,513.05
RO,2023-2024,35,67.75,114,126,337,458.04999999999995
RO,2023-2024,36,61,105,116,324,434.14999999999986
RO,2023-2024,37,57,98.5,109,307,422
RO,2023-2024,38,54,89.5,100.45000000000005,271.2000000000003,401.14999999999986
RO,2023-2024,39,49,86,95,250,352.04999999999995
RO,2023-2024,40,46,80,87.45000000000005,235.10000000000014,338.04999999999995
RO,2023-2024,41,42,74,81,211.10000000000014,300.1999999999998
RO,2023-2024,42,40,67,73,203,279
RO,2023-2024,43,35,60,67,173.10000000000014,252.29999999999973
RO,2023-2024,44,32,54,60,162.10000000000014,231.29999999999973
RO,2023-2024,45,29,48,54,155,206
RO,2023-2024,46,27,46,51,135,194.04999999999995
RO,2023-2024,47,24,44,49,130,179.04999999999995
RO,2023-2024,48,24,43,47,125,172.04999999999995
RO,2023-2024,49,23,40,44,121.10000000000014,171.04999999999995
RO,2023-2024,50,23,41,45,117,159.0999999999999
RO,2023-2024,51,24,42,47,122,170
RO,2023-2024,52,26,43,47,122,178
RR,2023-2024,1,16,30,34,88,120.04999999999995
RR,2023-2024,2,15,28,31,84,118.04999999999995
RR,2023-2024,3,14,27,29,78,103
RR,2023-2024,4,13,25,29,74,102
RR,2023-2024,5,13,24,27,68.10000000000014,88
RR,2023-2024,6,13,24,26,72,99
RR,2023-2024,7,12,23,26,66,87
RR,2023-2024,8,12,21,24,67,86.04999999999995
RR,2023-2024,9,12,22,25,65,93
RR,2023-2024,10,11,21,23,64,85
RR,2023-2024,11,12,22,24,66,88
RR,2023-2024,12,12,22,25,69,95
RR,2023-2024,13,12.75,23,26,68,89.04999999999995
RR,2023-2024,14,13,27,29,74,101
RR,2023-2024,15,14.75,27,30,78.10000000000014,110
RR,2023-2024,16,15,28.5,32,88,118
RR,2023-2024,17,16,29,32,90,119.04999999999995
RR,2023-2024,18,16,31,35,91,122
RR,2023-2024,19,17,32,36,96,129
RR,2023-2024,20,17,33,36,94,136.04999999999995
RR,2023-2024,21,17,32.5,36,97,136
RR,2023-2024,22,17,31,35,95,125
RR,2023-2024,23,17,32,35,93,129
RR,2023-2024,24,18,33,36.450000000000045,97.10000000000014,130
RR,2023-2024,25,17,31,35,96,127.09999999999991
RR,2023-2024,26,18,32,35,96,130.04999999999995
RR,2023-2024,27,18,34,37,102,136.0999999999999
RR,2023-2024,28,18,35,38,99,133
RR,2023-2024,29,20,35.5,40,108,148
